Jobs,Perusahaan,Kota,Pendidikan,Gaji
Direct sales jakarta,PT.TRIJAYA MAJU TOTALINDO,"Kota Adm. Jakarta Pusat, DKI Jakarta",SMA/SMK,Rp. 4.901.798 - Rp. 8.000.000
Direct Sales Jakarta,PT. Trijaya Maju Totalindo,"Kota Adm. Jakarta Pusat, DKI Jakarta",SMA/SMK,Rp. 4.901.798 - Rp. 9.000.000
Host Live Streaming ,INDOFUN DIGITAL TECHNOLOGY,"Kota Adm. Jakarta Pusat, DKI Jakarta",SMA/SMK,Rp. 3.500.000 - Rp. 5.000.000
Direct Sales, PT Oriri Indo Nusa,"Kota Adm. Jakarta Pusat, DKI Jakarta",SMA/SMK,Rp. 3.000.000 - Rp. 5.000.000
SPG/SPB INDODANA JAKBAR ,PT Prima Fajar Cahaya Surya,"Kota Adm. Jakarta Barat, DKI Jakarta",SMA/SMK,Rp. 2.200.000 - Rp. 5.000.000
Sales Executive,PT. TPM GRUP,"Kota Adm. Jakarta Pusat, DKI Jakarta",SMA/SMK,Rp. 3.680.000 - Rp. 8.680.000
Sales Executive,BERSAMA KITA BISA,"Kota Adm. Jakarta Selatan, DKI Jakarta",SMA/SMK,Rp. 1.000.000 - Rp. 5.000.000
Sales Executive kelapangan (QRIS PAYMENT),PT Qbiz Digital Technologies,"Kota Adm. Jakarta Selatan, DKI Jakarta",SMA/SMK,Rp. 5.000.000 - Rp. 8.000.000
SALES KTA & SYARIAH (LOGAM MULIA&MOTOR),BERSAMA KITA BISA,"Kota Adm. Jakarta Selatan, DKI Jakarta",SMA/SMK,Rp. 3.000.000
DIRECT SALES AKUISISI QRIS (area Domisili JABDETABEK),PT Qbiz Digital Technologies,"Kota Adm. Jakarta Selatan, DKI Jakarta",SMA/SMK,Rp. 5.000.000 - Rp. 8.000.000
